"","Cap_Space_Rank","Team","W","L","OT_L","P","Active_Players","Avg_Age","Forward_Cap","Defense_Cap","Goalie_Cap","Total_Cap","Cap_Space","Year","Total_Cash_Rank","Forward_Cash","Defense_Cash","Goalie_Cash","Total_Cash","Total_Cap_M","Total_Cash_M"
"37",5,"Ottawa Senators",33,42,7,73,"25/23",25,27648941,23803783,920875,71522731,9977269,"21-22",30,33076664,19889241,8583750,63382988,71.522731,63.382988
"38",6,"Nashville Predators",45,30,7,97,"27/23",26.2,38556995,21576916,6349009,71653906,9846094,"21-22",17,46773750,27203750,6971250,83223750,71.653906,83.22375
"39",7,"Seattle Kraken",27,49,6,60,"23/23",26.7,35300525,17696250,9400000,71773775,9726225,"21-22",29,39300825,18046250,7500000,64847075,71.773775,64.847075
"40",8,"New Jersey Devils",27,46,9,63,"31/23",24.5,32028163,28776790,3587500,73577425,7922575,"21-22",25,36482812,29379989,7187500,75050301,73.577425,75.050301
"41",9,"San Jose Sharks",32,37,13,77,"27/23",26.4,29695975,30611128,2975000,76292867,5207133,"21-22",14,42910323,37032528,4401250,86010768,76.292867,86.010768
"42",10,"New York Islanders",37,35,10,84,"25/23",28.9,50211667,15660420,9000000,79269354,2230646,"21-22",6,60490000,20001500,10000000,90491500,79.269354,90.4915
"43",11,"Dallas Stars",46,30,6,98,"25/23",28.1,47971796,26292847,1602000,81500000,0,"21-22",5,55532500,29313833,7206884,92053217,81.5,92.053217
"44",12,"Los Angeles Kings",44,27,11,99,"27/23",25.8,41266489,15003818,6658333,81500000,0,"21-22",23,42402751,30012162,4750000,79481580,81.5,79.48158
"45",13,"Carolina Hurricanes",54,20,8,116,"24/23",27,52667785,21275000,6550556,81500000,0,"21-22",2,59712535,30945000,6662500,97320035,81.5,97.320035
"46",14,"Vegas Golden Knights",43,31,8,94,"21/23",28,50703750,23987500,5260000,81500000,0,"21-22",3,61943750,23642500,7751125,93337375,81.5,93.337375
"47",15,"Pittsburgh Penguins",46,25,11,103,"23/23",29.2,49299502,26125175,5031250,81500000,0,"21-22",8,53840125,27311425,6956250,89024467,81.5,89.024467
"48",16,"Montreal Canadiens",22,49,11,55,"27/23",26.5,32370401,15901372,14125000,81500000,0,"21-22",21,40086600,23287207,15750000,79957140,81.5,79.95714
"49",17,"Philadelphia Flyers",25,46,11,61,"24/23",26.1,34826363,19479637,6089000,81500000,0,"21-22",11,47253481,31688125,6431500,87015963,81.5,87.015963
"50",18,"Washington Capitals",44,26,12,100,"24/23",29.4,52953749,24591667,2716667,81500000,0,"21-22",13,56356750,26267500,3500000,86124250,81.5,86.12425
"51",19,"Florida Panthers",58,18,6,122,"27/23",26.8,41208520,16005591,11379000,81500000,0,"21-22",18,41185581,24844521,14764918,83220020,81.5,83.22002
"52",20,"Tampa Bay Lightning",51,23,8,110,"20/23",28.6,45574250,25375000,9500000,81500000,0,"21-22",1,55706250,36710000,13655000,107833155,81.5,107.833155
"53",21,"Calgary Flames",50,21,11,111,"25/23",27.8,48031912,21332327,6750000,81500000,0,"21-22",4,57219750,28281250,6271750,93272750,81.5,93.27275
"54",22,"Vancouver Canucks",40,30,12,92,"27/23",27,39500742,25111500,6607793,81500000,0,"21-22",22,44728500,28380000,4187250,79695750,81.5,79.69575
"55",23,"Colorado Avalanche",56,19,7,119,"26/23",27,44047770,29044167,3544040,81500000,0,"21-22",9,49423845,30916000,8149967,88489812,81.5,88.489812
"56",24,"Chicago Blackhawks",28,42,12,68,"21/23",25.7,44883756,17114988,800000,81500000,0,"21-22",27,45113500,22012500,850000,67976000,81.5,67.976
"57",25,"St Louis Blues",49,22,11,109,"23/23",28.1,45556375,26863750,6750000,81500000,0,"21-22",7,53723750,30678750,5592500,90229000,81.5,90.229
"58",26,"Edmonton Oilers",49,27,6,104,"22/23",29.1,46796976,16326795,6700000,81500000,0,"21-22",19,50830000,22466500,6400000,83113167,81.5,83.113167
"59",27,"Winnipeg Jets",39,32,11,89,"23/23",26.9,44993232,26351375,6916666,81500000,0,"21-22",15,48490727,26506289,9842500,84839516,81.5,84.839516
"60",28,"Toronto Maple Leafs",54,21,7,115,"25/23",28.1,53115866,26566815,6200000,81500000,0,"21-22",12,55500225,25210035,6182500,86892760,81.5,86.89276
"61",29,"Boston Bruins",51,26,5,107,"29/23",27.5,50316090,22091000,5818625,81650744,-150744,"21-22",16,55026492,24395259,5079351,84501102,81.650744,84.501102
"62",30,"New York Rangers",52,24,6,110,"27/23",26.2,48225356,18523625,8091667,82449595,-949595,"21-22",10,57439550,17727229,7417500,87406502,82.449595,87.406502
"63",31,"Minnesota Wild",53,22,7,113,"24/23",28.3,39065050,29300000,7166666,83330618,-1830618,"21-22",24,35526603,33731250,7512500,78437019,83.330618,78.437019
"64",32,"Arizona Coyotes",25,50,7,57,"29/23",26.6,45920633,17632608,988750,85587556,-4087556,"21-22",20,57159875,20714868,2598750,81731826,85.587556,81.731826
"65",1,"New Jersey Devils",19,30,7,45,"24/23",24.4,23330834,25063332,4300000,62254273,19245727,"20-21",29,27683498,28636219,4587500,62907217,62.254273,62.907217
"66",2,"Ottawa Senators",23,28,5,51,"27/23",24.4,30388512,15059690,7251868,66354638,15145362,"20-21",31,34784590,16677494,5464186,58765939,66.354638,58.765939
"67",3,"Los Angeles Kings",21,28,7,49,"26/23",25.5,28945821,20270869,6863489,71143210,10356790,"20-21",30,30771621,22617986,5365156,60871430,71.14321,60.87143
"68",4,"Buffalo Sabres",15,34,7,37,"25/23",25.8,32213944,12879124,5724730,72678411,8821589,"20-21",24,46632468,18232312,6514058,73027648,72.678411,73.027648
"69",5,"Detroit Red Wings",19,27,10,48,"23/23",28.2,31787635,14986960,6600000,73725168,7774832,"20-21",28,36263137,16442360,8360000,64487720,73.725168,64.48772
"70",6,"Columbus Blue Jackets",18,26,12,48,"25/23",25.7,26214564,13505945,6800000,73835118,7664882,"20-21",27,43507738,18622900,6125000,69147304,73.835118,69.147304
"71",7,"New York Rangers",27,23,6,60,"25/23",25,38028975,15894016,3322184,74226625,7273375,"20-21",21,47833476,21648798,4026502,77797665,74.226625,77.797665
"72",8,"Carolina Hurricanes",36,12,8,80,"28/23",26.2,42619489,25468718,7122652,77568328,3931672,"20-21",13,48433112,25509720,9060304,85336469,77.568328,85.336469
"73",9,"Calgary Flames",26,27,3,55,"25/23",27.4,44320731,22819366,6156884,77897228,3602772,"20-21",15,48054898,25292700,5671884,81686149,77.897228,81.686149
"74",10,"Philadelphia Flyers",24,23,9,57,"24/23",26.1,49117810,20727564,2435989,78849867,2650133,"20-21",22,52317741,19947564,3247656,76112961,78.849867,76.112961
"75",11,"San Jose Sharks",21,28,7,49,"29/23",26.1,38725559,30754954,5972452,79896022,1603978,"20-21",9,43358342,35496690,7784514,86639546,79.896022,86.639546
"76",12,"Florida Panthers",37,14,5,79,"30/23",25.8,33282587,27893581,11073272,80743103,756897,"20-21",20,34255787,28652486,14085956,78177562,80.743103,78.177562
"77",13,"Minnesota Wild",35,16,5,75,"22/23",28.5,41082212,32180128,4391666,81088412,411588,"20-21",3,54212798,32043966,5492500,92032862,81.088412,92.032862
"78",14,"Montreal Canadiens",24,21,11,59,"25/23",27.5,36102214,25503147,15024639,81500000,0,"20-21",16,41145765,22688711,16200071,80867880,81.5,80.86788
"79",15,"Pittsburgh Penguins",37,16,3,77,"32/23",27.5,47564105,25844991,4817748,81500000,0,"20-21",11,53670216,27597491,3908874,86093248,81.5,86.093248
"80",16,"New York Islanders",32,17,7,71,"26/23",28.5,46474348,20007464,7700000,81500000,0,"20-21",7,54323754,25443734,8192500,87959988,81.5,87.959988
"81",17,"Washington Capitals",35,16,5,75,"23/23",30.5,54315128,25095000,2003721,81500000,0,"20-21",10,53667676,29427500,3137054,86232230,81.5,86.23223
"82",18,"Toronto Maple Leafs",35,14,7,77,"23/23",27.9,54548198,19664949,3025000,81500000,0,"20-21",1,67714953,22905521,8123391,100570017,81.5,100.570017
